Owner,State
aghoshc,Realised
e_nkum15,Validation_failed
sn6,Recorded
sn6,Analysed
sn6,Assigned
jrajmoha,Recorded
aghoshc,Recorded
jrajmoha,Recorded
d6,Analysed
sn6,Recorded
sn6,Recorded
sn6,Recorded
sn6,Recorded
sn6,Recorded
jrajmoha,Recorded
e_abora,Assigned
psolaiya,Recorded
d6,Analysed
d6,Analysed
sn6,Recorded
e_abora,Analysed
d6,Validated
sn6,Realised
d6,Recorded
sn6,Recorded
sn6,Recorded
jrajmoha,Assigned
psolaiya,Realised
e_abora,Assigned
d6,Analysed
d6,Assigned
vcr,Recorded
sn6,Recorded
d6,Realised
sn6,Recorded
sn6,Recorded
sn6,Recorded
sn6,Recorded
sn6,Recorded
e_nkum15,Validation_failed
sn6,Recorded
jrajmoha,Recorded
e_abora,Analysed
sn6,Recorded
sn6,Recorded
d6,Recorded
e_abora,Recorded
sn6,Assigned
sn6,Recorded
sn6,Validation_failed
psolaiya,Recorded
sn6,Recorded
d6,Recorded
d6,Realised
e_nkum15,Realised
psolaiya,Recorded
sn6,Rejected
e_abora,Assigned
e_nkum15,Recorded
e_nkum15,Recorded
psolaiya,Recorded
sn6,Recorded
sn6,Realised
sn6,Recorded
sn6,Recorded
d6,Analysed
e_abora,Assigned
psolaiya,Recorded
sn6,Recorded
d6,Realised
psolaiya,Analysed
aghoshc,Recorded
sn6,Recorded
sn6,Recorded
sn6,Realised
jrajmoha,Realised
sn6,Validation_failed
bks,Analysed
sn6,Validation_failed
sn6,Analysed
d6,Analysed
sn6,Recorded
sn6,Recorded
jrajmoha,Recorded
psolaiya,Recorded
jrajmoha,Assigned
d6,Realised
aghoshc,Recorded
sn6,Assigned
psolaiya,Recorded
sn6,Recorded
d6,Realised
sn6,Realised
sn6,Recorded
d6,Validated
aghoshc,Recorded
sn6,Assigned
aghoshc,Recorded
aghoshc,Analysed
aghoshc,Recorded
sn6,Realised
sn6,Realised
d6,Analysed
jrajmoha,Recorded
jrajmoha,Recorded
jrajmoha,Recorded
d6,Recorded
sn6,Realised
jrajmoha,Realised
sn6,Recorded
jrajmoha,Recorded
d6,Realised
psolaiya,Recorded
mvaish,Validated
d6,Assigned
sn6,Realised
sn6,Recorded
d6,Analysed
sn6,Recorded
aghoshc,Recorded
sn6,Recorded
sn6,Analysed
psolaiya,Recorded
sn6,Recorded
psolaiya,Recorded
sn6,Recorded
e_abora,Analysed
aghoshc,Realised
sn6,Recorded
d6,Realised
psolaiya,Assigned
sn6,Realised
sn6,Recorded
e_abora,Assigned
e_abora,Assigned
e_abora,Assigned
e_abora,Assigned
e_nkum15,Recorded
d6,Assigned
